run_id,ts_ms,event_type,frame_id,participant_id,lighting,background,distance_m,gesture_true,gesture_pred,confidence,stable_ms,threshold,command_sent,command_block_reason,drone_state,battery_pct,height_cm,command_ts_ms,ack_ts_ms,drone_motion_ts_ms,e2e_latency_ms,notes
20260302_121330,1772475219029,frame,0,P1,normal,clean,0.5,,none,0.0,0,0.8,none,none,,,,,,,,
20260302_121330,1772475219133,frame,1,P1,normal,clean,0.5,,none,0.0,104,0.8,none,none,,,,,,,,
20260302_121330,1772475219138,frame,2,P1,normal,clean,0.5,,none,0.0,109,0.8,none,none,,,,,,,,
20260302_121330,1772475219154,frame,3,P1,normal,clean,0.5,,none,0.0,125,0.8,none,none,,,,,,,,
20260302_121330,1772475219159,frame,4,P1,normal,clean,0.5,,none,0.0,130,0.8,none,none,,,,,,,,
20260302_121330,1772475219165,frame,5,P1,normal,clean,0.5,,none,0.0,136,0.8,none,none,,,,,,,,
20260302_121330,1772475219184,frame,6,P1,normal,clean,0.5,,none,0.0,155,0.8,none,none,,,,,,,,
20260302_121330,1772475219190,frame,7,P1,normal,clean,0.5,,none,0.0,161,0.8,none,none,,,,,,,,
20260302_121330,1772475219200,frame,8,P1,normal,clean,0.5,,none,0.0,171,0.8,none,none,,,,,,,,
20260302_121330,1772475219206,frame,9,P1,normal,clean,0.5,,none,0.0,177,0.8,none,none,,,,,,,,
20260302_121330,1772475219211,frame,10,P1,normal,clean,0.5,,none,0.0,182,0.8,none,none,,,,,,,,
20260302_121330,1772475219230,frame,11,P1,normal,clean,0.5,,none,0.0,201,0.8,none,none,,,,,,,,
20260302_121330,1772475219235,frame,12,P1,normal,clean,0.5,,none,0.0,206,0.8,none,none,,,,,,,,
20260302_121330,1772475219245,frame,13,P1,normal,clean,0.5,,none,0.0,216,0.8,none,none,,,,,,,,
20260302_121330,1772475219261,frame,14,P1,normal,clean,0.5,,none,0.0,232,0.8,none,none,,,,,,,,
20260302_121330,1772475219276,frame,15,P1,normal,clean,0.5,,none,0.0,247,0.8,none,none,,,,,,,,
20260302_121330,1772475219292,frame,16,P1,normal,clean,0.5,,none,0.0,263,0.8,none,none,,,,,,,,
20260302_121330,1772475219297,frame,17,P1,normal,clean,0.5,,none,0.0,268,0.8,none,none,,,,,,,,
20260302_121330,1772475219307,frame,18,P1,normal,clean,0.5,,none,0.0,278,0.8,none,none,,,,,,,,
20260302_121330,1772475219312,frame,19,P1,normal,clean,0.5,,none,0.0,283,0.8,none,none,,,,,,,,
20260302_121330,1772475219319,frame,20,P1,normal,clean,0.5,,none,0.0,290,0.8,none,none,,,,,,,,
20260302_121330,1772475219338,frame,21,P1,normal,clean,0.5,,none,0.0,309,0.8,none,none,,,,,,,,
20260302_121330,1772475219344,frame,22,P1,normal,clean,0.5,,none,0.0,315,0.8,none,none,,,,,,,,
20260302_121330,1772475219354,frame,23,P1,normal,clean,0.5,,none,0.0,325,0.8,none,none,,,,,,,,
20260302_121330,1772475219369,frame,24,P1,normal,clean,0.5,,none,0.0,340,0.8,none,none,,,,,,,,
20260302_121330,1772475219384,frame,25,P1,normal,clean,0.5,,none,0.0,355,0.8,none,none,,,,,,,,
20260302_121330,1772475219389,frame,26,P1,normal,clean,0.5,,none,0.0,360,0.8,none,none,,,,,,,,
20260302_121330,1772475219400,frame,27,P1,normal,clean,0.5,,none,0.0,371,0.8,none,none,,,,,,,,
20260302_121330,1772475219405,frame,28,P1,normal,clean,0.5,,none,0.0,376,0.8,none,none,,,,,,,,
20260302_121330,1772475219410,frame,29,P1,normal,clean,0.5,,none,0.0,381,0.8,none,none,,,,,,,,
20260302_121330,1772475219415,frame,30,P1,normal,clean,0.5,,none,0.0,386,0.8,none,none,,,,,,,,
20260302_121330,1772475219421,frame,31,P1,normal,clean,0.5,,none,0.0,392,0.8,none,none,,,,,,,,
20260302_121330,1772475219427,frame,32,P1,normal,clean,0.5,,none,0.0,398,0.8,none,none,,,,,,,,
20260302_121330,1772475219432,frame,33,P1,normal,clean,0.5,,none,0.0,403,0.8,none,none,,,,,,,,
20260302_121330,1772475219446,frame,34,P1,normal,clean,0.5,,none,0.0,417,0.8,none,none,,,,,,,,
20260302_121330,1772475219452,frame,35,P1,normal,clean,0.5,,none,0.0,423,0.8,none,none,,,,,,,,
20260302_121330,1772475219462,frame,36,P1,normal,clean,0.5,,none,0.0,433,0.8,none,none,,,,,,,,
20260302_121330,1772475219467,frame,37,P1,normal,clean,0.5,,none,0.0,438,0.8,none,none,,,,,,,,
20260302_121330,1772475219473,frame,38,P1,normal,clean,0.5,,none,0.0,444,0.8,none,none,,,,,,,,
20260302_121330,1772475219479,frame,39,P1,normal,clean,0.5,,none,0.0,450,0.8,none,none,,,,,,,,
20260302_121330,1772475219493,frame,40,P1,normal,clean,0.5,,none,0.0,464,0.8,none,none,,,,,,,,
20260302_121330,1772475219508,frame,41,P1,normal,clean,0.5,,none,0.0,479,0.8,none,none,,,,,,,,
20260302_121330,1772475219514,frame,42,P1,normal,clean,0.5,,none,0.0,485,0.8,none,none,,,,,,,,
20260302_121330,1772475219519,frame,43,P1,normal,clean,0.5,,none,0.0,490,0.8,none,none,,,,,,,,
20260302_121330,1772475219524,frame,44,P1,normal,clean,0.5,,none,0.0,495,0.8,none,none,,,,,,,,
20260302_121330,1772475219538,frame,45,P1,normal,clean,0.5,,none,0.0,509,0.8,none,none,,,,,,,,
20260302_121330,1772475219543,frame,46,P1,normal,clean,0.5,,none,0.0,514,0.8,none,none,,,,,,,,
20260302_121330,1772475219553,frame,47,P1,normal,clean,0.5,,none,0.0,524,0.8,none,none,,,,,,,,
20260302_121330,1772475219569,frame,48,P1,normal,clean,0.5,,none,0.0,540,0.8,none,none,,,,,,,,
20260302_121330,1772475219574,frame,49,P1,normal,clean,0.5,,none,0.0,545,0.8,none,none,,,,,,,,
20260302_121330,1772475219580,frame,50,P1,normal,clean,0.5,,none,0.0,551,0.8,none,none,,,,,,,,
20260302_121330,1772475219585,frame,51,P1,normal,clean,0.5,,none,0.0,556,0.8,none,none,,,,,,,,
20260302_121330,1772475219600,frame,52,P1,normal,clean,0.5,,none,0.0,571,0.8,none,none,,,,,,,,
20260302_121330,1772475219606,frame,53,P1,normal,clean,0.5,,none,0.0,577,0.8,none,none,,,,,,,,
20260302_121330,1772475219615,frame,54,P1,normal,clean,0.5,,none,0.0,586,0.8,none,none,,,,,,,,
20260302_121330,1772475219621,frame,55,P1,normal,clean,0.5,,none,0.0,592,0.8,none,none,,,,,,,,
20260302_121330,1772475219627,frame,56,P1,normal,clean,0.5,,none,0.0,598,0.8,none,none,,,,,,,,
20260302_121330,1772475219632,frame,57,P1,normal,clean,0.5,,none,0.0,603,0.8,none,none,,,,,,,,
20260302_121330,1772475219637,frame,58,P1,normal,clean,0.5,,none,0.0,608,0.8,none,none,,,,,,,,
20260302_121330,1772475219644,frame,59,P1,normal,clean,0.5,,none,0.0,615,0.8,none,none,,,,,,,,
20260302_121330,1772475219661,frame,60,P1,normal,clean,0.5,,none,0.0,632,0.8,none,none,,,,,,,,
20260302_121330,1772475219677,frame,61,P1,normal,clean,0.5,,none,0.0,648,0.8,none,none,,,,,,,,
20260302_121330,1772475219693,frame,62,P1,normal,clean,0.5,,none,0.0,664,0.8,none,none,,,,,,,,
20260302_121330,1772475219707,frame,63,P1,normal,clean,0.5,,none,0.0,678,0.8,none,none,,,,,,,,
20260302_121330,1772475219723,frame,64,P1,normal,clean,0.5,,none,0.0,694,0.8,none,none,,,,,,,,
20260302_121330,1772475219738,frame,65,P1,normal,clean,0.5,,none,0.0,709,0.8,none,none,,,,,,,,
20260302_121330,1772475219743,frame,66,P1,normal,clean,0.5,,none,0.0,714,0.8,none,none,,,,,,,,
20260302_121330,1772475219748,frame,67,P1,normal,clean,0.5,,none,0.0,719,0.8,none,none,,,,,,,,
20260302_121330,1772475219753,frame,68,P1,normal,clean,0.5,,none,0.0,724,0.8,none,none,,,,,,,,
20260302_121330,1772475219768,frame,69,P1,normal,clean,0.5,,none,0.0,739,0.8,none,none,,,,,,,,
20260302_121330,1772475219783,frame,70,P1,normal,clean,0.5,,none,0.0,754,0.8,none,none,,,,,,,,
20260302_121330,1772475219788,frame,71,P1,normal,clean,0.5,,none,0.0,759,0.8,none,none,,,,,,,,
20260302_121330,1772475219794,frame,72,P1,normal,clean,0.5,,none,0.0,765,0.8,none,none,,,,,,,,
20260302_121330,1772475219799,frame,73,P1,normal,clean,0.5,,none,0.0,770,0.8,none,none,,,,,,,,
20260302_121330,1772475219814,frame,74,P1,normal,clean,0.5,,none,0.0,785,0.8,none,none,,,,,,,,
20260302_121330,1772475219829,frame,75,P1,normal,clean,0.5,,none,0.0,800,0.8,none,none,,,,,,,,
