run_id,ts_ms,event_type,frame_id,participant_id,lighting,background,distance_m,gesture_true,gesture_pred,confidence,stable_ms,threshold,command_sent,command_block_reason,drone_state,battery_pct,height_cm,command_ts_ms,ack_ts_ms,drone_motion_ts_ms,e2e_latency_ms,notes
20260330_102511,1774884342121,frame,0,P1,normal,clean,0.5,,none,0.0,0,0.8,none,no_command,,,,,,,,
20260330_102511,1774884343301,frame,1,P1,normal,clean,0.5,,none,0.0,1180,0.8,none,no_command,,,,,,,,
20260330_102511,1774884343331,frame,2,P1,normal,clean,0.5,,none,0.0,1210,0.8,none,no_command,,,,,,,,
20260330_102511,1774884343362,frame,3,P1,normal,clean,0.5,,none,0.0,1241,0.8,none,no_command,,,,,,,,
20260330_102511,1774884343400,frame,4,P1,normal,clean,0.5,,none,0.0,1279,0.8,none,no_command,,,,,,,,
20260330_102511,1774884343425,frame,5,P1,normal,clean,0.5,,none,0.0,1304,0.8,none,no_command,,,,,,,,
20260330_102511,1774884343455,frame,6,P1,normal,clean,0.5,,none,0.0,1334,0.8,none,no_command,,,,,,,,
20260330_102511,1774884343487,frame,7,P1,normal,clean,0.5,,none,0.0,1366,0.8,none,no_command,,,,,,,,
20260330_102511,1774884343517,frame,8,P1,normal,clean,0.5,,none,0.0,1396,0.8,none,no_command,,,,,,,,
20260330_102511,1774884343549,frame,9,P1,normal,clean,0.5,,none,0.0,1428,0.8,none,no_command,,,,,,,,
20260330_102511,1774884343595,frame,10,P1,normal,clean,0.5,,none,0.0,1474,0.8,none,no_command,,,,,,,,
20260330_102511,1774884343627,frame,11,P1,normal,clean,0.5,,none,0.0,1506,0.8,none,no_command,,,,,,,,
20260330_102511,1774884343659,frame,12,P1,normal,clean,0.5,,none,0.0,1538,0.8,none,no_command,,,,,,,,
20260330_102511,1774884343690,frame,13,P1,normal,clean,0.5,,none,0.0,1569,0.8,none,no_command,,,,,,,,
20260330_102511,1774884343721,frame,14,P1,normal,clean,0.5,,none,0.0,1600,0.8,none,no_command,,,,,,,,
20260330_102511,1774884343752,frame,15,P1,normal,clean,0.5,,none,0.0,1631,0.8,none,no_command,,,,,,,,
20260330_102511,1774884343785,frame,16,P1,normal,clean,0.5,,none,0.0,1664,0.8,none,no_command,,,,,,,,
20260330_102511,1774884343832,frame,17,P1,normal,clean,0.5,,none,0.0,1711,0.8,none,no_command,,,,,,,,
20260330_102511,1774884343863,frame,18,P1,normal,clean,0.5,,none,0.0,1742,0.8,none,no_command,,,,,,,,
20260330_102511,1774884343894,frame,19,P1,normal,clean,0.5,,none,0.0,1773,0.8,none,no_command,,,,,,,,
20260330_102511,1774884343925,frame,20,P1,normal,clean,0.5,,none,0.0,1804,0.8,none,no_command,,,,,,,,
20260330_102511,1774884343954,frame,21,P1,normal,clean,0.5,,none,0.0,1833,0.8,none,no_command,,,,,,,,
