run_id,ts_ms,event_type,frame_id,participant_id,lighting,background,distance_m,gesture_true,gesture_pred,confidence,stable_ms,threshold,command_sent,command_block_reason,drone_state,battery_pct,height_cm,command_ts_ms,ack_ts_ms,drone_motion_ts_ms,e2e_latency_ms,notes
20260330_104358,1774885441639,frame,0,P1,normal,clean,0.5,,none,0.0,0,0.8,none,no_command,,,,,,,,
20260330_104358,1774885442792,frame,1,P1,normal,clean,0.5,,none,0.0,1153,0.8,none,no_command,,,,,,,,
20260330_104358,1774885442815,frame,2,P1,normal,clean,0.5,,none,0.0,1176,0.8,none,no_command,,,,,,,,
20260330_104358,1774885442846,frame,3,P1,normal,clean,0.5,,none,0.0,1207,0.8,none,no_command,,,,,,,,
20260330_104358,1774885442885,frame,4,P1,normal,clean,0.5,,none,0.0,1246,0.8,none,no_command,,,,,,,,
20260330_104358,1774885442908,frame,5,P1,normal,clean,0.5,,none,0.0,1269,0.8,none,no_command,,,,,,,,
20260330_104358,1774885442940,frame,6,P1,normal,clean,0.5,,none,0.0,1301,0.8,none,no_command,,,,,,,,
20260330_104358,1774885442971,frame,7,P1,normal,clean,0.5,,none,0.0,1332,0.8,none,no_command,,,,,,,,
20260330_104358,1774885443002,frame,8,P1,normal,clean,0.5,,none,0.0,1363,0.8,none,no_command,,,,,,,,
20260330_104358,1774885443033,frame,9,P1,normal,clean,0.5,,none,0.0,1394,0.8,none,no_command,,,,,,,,
20260330_104358,1774885443065,frame,10,P1,normal,clean,0.5,,none,0.0,1426,0.8,none,no_command,,,,,,,,
20260330_104358,1774885443112,frame,11,P1,normal,clean,0.5,,none,0.0,1473,0.8,none,no_command,,,,,,,,
20260330_104358,1774885443157,frame,12,P1,normal,clean,0.5,,none,0.0,1518,0.8,none,no_command,,,,,,,,
20260330_104358,1774885443188,frame,13,P1,normal,clean,0.5,,none,0.0,1549,0.8,none,no_command,,,,,,,,
20260330_104358,1774885443217,frame,14,P1,normal,clean,0.5,,none,0.0,1578,0.8,none,no_command,,,,,,,,
20260330_104358,1774885443248,frame,15,P1,normal,clean,0.5,,none,0.0,1609,0.8,none,no_command,,,,,,,,
20260330_104358,1774885443279,frame,16,P1,normal,clean,0.5,,none,0.0,1640,0.8,none,no_command,,,,,,,,
20260330_104358,1774885443309,frame,17,P1,normal,clean,0.5,,none,0.0,1670,0.8,none,no_command,,,,,,,,
20260330_104358,1774885443340,frame,18,P1,normal,clean,0.5,,none,0.0,1701,0.8,none,no_command,,,,,,,,
20260330_104358,1774885443371,frame,19,P1,normal,clean,0.5,,none,0.0,1732,0.8,none,no_command,,,,,,,,
20260330_104358,1774885443402,frame,20,P1,normal,clean,0.5,,none,0.0,1763,0.8,none,no_command,,,,,,,,
20260330_104358,1774885443433,frame,21,P1,normal,clean,0.5,,none,0.0,1794,0.8,none,no_command,,,,,,,,
20260330_104358,1774885443466,frame,22,P1,normal,clean,0.5,,none,0.0,1827,0.8,none,no_command,,,,,,,,
20260330_104358,1774885443512,frame,23,P1,normal,clean,0.5,,none,0.0,1873,0.8,none,no_command,,,,,,,,
20260330_104358,1774885443544,frame,24,P1,normal,clean,0.5,,none,0.0,1905,0.8,none,no_command,,,,,,,,
20260330_104358,1774885443575,frame,25,P1,normal,clean,0.5,,none,0.0,1936,0.8,none,no_command,,,,,,,,
20260330_104358,1774885443621,frame,26,P1,normal,clean,0.5,,none,0.0,1982,0.8,none,no_command,,,,,,,,
20260330_104358,1774885443652,frame,27,P1,normal,clean,0.5,,none,0.0,2013,0.8,none,no_command,,,,,,,,
20260330_104358,1774885443683,frame,28,P1,normal,clean,0.5,,none,0.0,2044,0.8,none,no_command,,,,,,,,
20260330_104358,1774885443715,frame,29,P1,normal,clean,0.5,,none,0.0,2076,0.8,none,no_command,,,,,,,,
20260330_104358,1774885443746,frame,30,P1,normal,clean,0.5,,none,0.0,2107,0.8,none,no_command,,,,,,,,
20260330_104358,1774885443778,frame,31,P1,normal,clean,0.5,,none,0.0,2139,0.8,none,no_command,,,,,,,,
20260330_104358,1774885443809,frame,32,P1,normal,clean,0.5,,none,0.0,2170,0.8,none,no_command,,,,,,,,
20260330_104358,1774885443840,frame,33,P1,normal,clean,0.5,,none,0.0,2201,0.8,none,no_command,,,,,,,,
20260330_104358,1774885443871,frame,34,P1,normal,clean,0.5,,none,0.0,2232,0.8,none,no_command,,,,,,,,
20260330_104358,1774885443917,frame,35,P1,normal,clean,0.5,,none,0.0,2278,0.8,none,no_command,,,,,,,,
20260330_104358,1774885443947,frame,36,P1,normal,clean,0.5,,none,0.0,2308,0.8,none,no_command,,,,,,,,
20260330_104358,1774885443979,frame,37,P1,normal,clean,0.5,,none,0.0,2340,0.8,none,no_command,,,,,,,,
20260330_104358,1774885444010,frame,38,P1,normal,clean,0.5,,none,0.0,2371,0.8,none,no_command,,,,,,,,
20260330_104358,1774885444055,frame,39,P1,normal,clean,0.5,,none,0.0,2416,0.8,none,no_command,,,,,,,,
20260330_104358,1774885444086,frame,40,P1,normal,clean,0.5,,none,0.0,2447,0.8,none,no_command,,,,,,,,
20260330_104358,1774885444117,frame,41,P1,normal,clean,0.5,,none,0.0,2478,0.8,none,no_command,,,,,,,,
20260330_104358,1774885444148,frame,42,P1,normal,clean,0.5,,none,0.0,2509,0.8,none,no_command,,,,,,,,
20260330_104358,1774885444179,frame,43,P1,normal,clean,0.5,,none,0.0,2540,0.8,none,no_command,,,,,,,,
20260330_104358,1774885444210,frame,44,P1,normal,clean,0.5,,none,0.0,2571,0.8,none,no_command,,,,,,,,
20260330_104358,1774885444242,frame,45,P1,normal,clean,0.5,,none,0.0,2603,0.8,none,no_command,,,,,,,,
20260330_104358,1774885444273,frame,46,P1,normal,clean,0.5,,none,0.0,2634,0.8,none,no_command,,,,,,,,
20260330_104358,1774885444320,frame,47,P1,normal,clean,0.5,,none,0.0,2681,0.8,none,no_command,,,,,,,,
20260330_104358,1774885444351,frame,48,P1,normal,clean,0.5,,none,0.0,2712,0.8,none,no_command,,,,,,,,
20260330_104358,1774885444383,frame,49,P1,normal,clean,0.5,,none,0.0,2744,0.8,none,no_command,,,,,,,,
20260330_104358,1774885444413,frame,50,P1,normal,clean,0.5,,none,0.0,2774,0.8,none,no_command,,,,,,,,
