run_id,ts_ms,event_type,frame_id,participant_id,lighting,background,distance_m,gesture_true,gesture_pred,confidence,stable_ms,threshold,command_sent,command_block_reason,drone_state,battery_pct,height_cm,command_ts_ms,ack_ts_ms,drone_motion_ts_ms,e2e_latency_ms,notes
20260330_102144,1774884107950,frame,0,P1,normal,clean,0.5,,none,0.0,0,0.8,none,no_command,,,,,,,,
20260330_102144,1774884109139,frame,1,P1,normal,clean,0.5,,none,0.0,1189,0.8,none,no_command,,,,,,,,
20260330_102144,1774884109150,frame,2,P1,normal,clean,0.5,,none,0.0,1200,0.8,none,no_command,,,,,,,,
20260330_102144,1774884109182,frame,3,P1,normal,clean,0.5,,none,0.0,1232,0.8,none,no_command,,,,,,,,
20260330_102144,1774884109214,frame,4,P1,normal,clean,0.5,,none,0.0,1264,0.8,none,no_command,,,,,,,,
20260330_102144,1774884109245,frame,5,P1,normal,clean,0.5,,none,0.0,1295,0.8,none,no_command,,,,,,,,
20260330_102144,1774884109277,frame,6,P1,normal,clean,0.5,,none,0.0,1327,0.8,none,no_command,,,,,,,,
20260330_102144,1774884109309,frame,7,P1,normal,clean,0.5,,none,0.0,1359,0.8,none,no_command,,,,,,,,
20260330_102144,1774884109341,frame,8,P1,normal,clean,0.5,,none,0.0,1391,0.8,none,no_command,,,,,,,,
20260330_102144,1774884109375,frame,9,P1,normal,clean,0.5,,none,0.0,1425,0.8,none,no_command,,,,,,,,
20260330_102144,1774884109421,frame,10,P1,normal,clean,0.5,,none,0.0,1471,0.8,none,no_command,,,,,,,,
20260330_102144,1774884109453,frame,11,P1,normal,clean,0.5,,none,0.0,1503,0.8,none,no_command,,,,,,,,
20260330_102144,1774884109485,frame,12,P1,normal,clean,0.5,,none,0.0,1535,0.8,none,no_command,,,,,,,,
20260330_102144,1774884109518,frame,13,P1,normal,clean,0.5,,none,0.0,1568,0.8,none,no_command,,,,,,,,
20260330_102144,1774884109549,frame,14,P1,normal,clean,0.5,,none,0.0,1599,0.8,none,no_command,,,,,,,,
20260330_102144,1774884109582,frame,15,P1,normal,clean,0.5,,none,0.0,1632,0.8,none,no_command,,,,,,,,
20260330_102144,1774884109617,frame,16,P1,normal,clean,0.5,,none,0.0,1667,0.8,none,no_command,,,,,,,,
20260330_102144,1774884109646,frame,17,P1,normal,clean,0.5,,none,0.0,1696,0.8,none,no_command,,,,,,,,
20260330_102144,1774884109676,frame,18,P1,normal,clean,0.5,,none,0.0,1726,0.8,none,no_command,,,,,,,,
20260330_102144,1774884109709,frame,19,P1,normal,clean,0.5,,none,0.0,1759,0.8,none,no_command,,,,,,,,
20260330_102144,1774884109740,frame,20,P1,normal,clean,0.5,,none,0.0,1790,0.8,none,no_command,,,,,,,,
20260330_102144,1774884109773,frame,21,P1,normal,clean,0.5,,none,0.0,1823,0.8,none,no_command,,,,,,,,
20260330_102144,1774884109822,frame,22,P1,normal,clean,0.5,,none,0.0,1872,0.8,none,no_command,,,,,,,,
20260330_102144,1774884109854,frame,23,P1,normal,clean,0.5,,none,0.0,1904,0.8,none,no_command,,,,,,,,
20260330_102144,1774884109889,frame,24,P1,normal,clean,0.5,,none,0.0,1939,0.8,none,no_command,,,,,,,,
20260330_102144,1774884109919,frame,25,P1,normal,clean,0.5,,none,0.0,1969,0.8,none,no_command,,,,,,,,
20260330_102144,1774884109950,frame,26,P1,normal,clean,0.5,,none,0.0,2000,0.8,none,no_command,,,,,,,,
20260330_102144,1774884109982,frame,27,P1,normal,clean,0.5,,none,0.0,2032,0.8,none,no_command,,,,,,,,
20260330_102144,1774884110014,frame,28,P1,normal,clean,0.5,,none,0.0,2064,0.8,none,no_command,,,,,,,,
20260330_102144,1774884110046,frame,29,P1,normal,clean,0.5,,none,0.0,2096,0.8,none,no_command,,,,,,,,
20260330_102144,1774884110078,frame,30,P1,normal,clean,0.5,,none,0.0,2128,0.8,none,no_command,,,,,,,,
20260330_102144,1774884110109,frame,31,P1,normal,clean,0.5,,none,0.0,2159,0.8,none,no_command,,,,,,,,
20260330_102144,1774884110142,frame,32,P1,normal,clean,0.5,,none,0.0,2192,0.8,none,no_command,,,,,,,,
20260330_102144,1774884110173,frame,33,P1,normal,clean,0.5,,none,0.0,2223,0.8,none,no_command,,,,,,,,
20260330_102144,1774884110224,frame,34,P1,normal,clean,0.5,,none,0.0,2274,0.8,none,no_command,,,,,,,,
20260330_102144,1774884110254,frame,35,P1,normal,clean,0.5,,none,0.0,2304,0.8,none,no_command,,,,,,,,
20260330_102144,1774884110286,frame,36,P1,normal,clean,0.5,,none,0.0,2336,0.8,none,no_command,,,,,,,,
20260330_102144,1774884110318,frame,37,P1,normal,clean,0.5,,none,0.0,2368,0.8,none,no_command,,,,,,,,
20260330_102144,1774884110349,frame,38,P1,normal,clean,0.5,,none,0.0,2399,0.8,none,no_command,,,,,,,,
20260330_102144,1774884110381,frame,39,P1,normal,clean,0.5,,none,0.0,2431,0.8,none,no_command,,,,,,,,
20260330_102144,1774884110413,frame,40,P1,normal,clean,0.5,,none,0.0,2463,0.8,none,no_command,,,,,,,,
20260330_102144,1774884110445,frame,41,P1,normal,clean,0.5,,none,0.0,2495,0.8,none,no_command,,,,,,,,
20260330_102144,1774884110478,frame,42,P1,normal,clean,0.5,,none,0.0,2528,0.8,none,no_command,,,,,,,,
20260330_102144,1774884110509,frame,43,P1,normal,clean,0.5,,none,0.0,2559,0.8,none,no_command,,,,,,,,
20260330_102144,1774884110542,frame,44,P1,normal,clean,0.5,,none,0.0,2592,0.8,none,no_command,,,,,,,,
20260330_102144,1774884110573,frame,45,P1,normal,clean,0.5,,none,0.0,2623,0.8,none,no_command,,,,,,,,
20260330_102144,1774884110621,frame,46,P1,normal,clean,0.5,,none,0.0,2671,0.8,none,no_command,,,,,,,,
20260330_102144,1774884110654,frame,47,P1,normal,clean,0.5,,none,0.0,2704,0.8,none,no_command,,,,,,,,
20260330_102144,1774884110686,frame,48,P1,normal,clean,0.5,,none,0.0,2736,0.8,none,no_command,,,,,,,,
20260330_102144,1774884110721,frame,49,P1,normal,clean,0.5,,none,0.0,2771,0.8,none,no_command,,,,,,,,
20260330_102144,1774884110753,frame,50,P1,normal,clean,0.5,,none,0.0,2803,0.8,none,no_command,,,,,,,,
20260330_102144,1774884110785,frame,51,P1,normal,clean,0.5,,none,0.0,2835,0.8,none,no_command,,,,,,,,
20260330_102144,1774884110818,frame,52,P1,normal,clean,0.5,,none,0.0,2868,0.8,none,no_command,,,,,,,,
20260330_102144,1774884110845,frame,53,P1,normal,clean,0.5,,none,0.0,2895,0.8,none,no_command,,,,,,,,
20260330_102144,1774884110878,frame,54,P1,normal,clean,0.5,,none,0.0,2928,0.8,none,no_command,,,,,,,,
20260330_102144,1774884110909,frame,55,P1,normal,clean,0.5,,none,0.0,2959,0.8,none,no_command,,,,,,,,
20260330_102144,1774884110943,frame,56,P1,normal,clean,0.5,,none,0.0,2993,0.8,none,no_command,,,,,,,,
