run_id,ts_ms,event_type,frame_id,participant_id,lighting,background,distance_m,gesture_true,gesture_pred,confidence,stable_ms,threshold,command_sent,command_block_reason,drone_state,battery_pct,height_cm,command_ts_ms,ack_ts_ms,drone_motion_ts_ms,e2e_latency_ms,notes
20260329_231729,1774844250300,frame,0,P1,normal,clean,0.5,,none,0.0,0,0.8,none,no_command,,,,,,,,
20260329_231729,1774844251509,frame,1,P1,normal,clean,0.5,,none,0.0,1209,0.8,none,no_command,,,,,,,,
20260329_231729,1774844251549,frame,2,P1,normal,clean,0.5,,none,0.0,1249,0.8,none,no_command,,,,,,,,
20260329_231729,1774844251564,frame,3,P1,normal,clean,0.5,,none,0.0,1264,0.8,none,no_command,,,,,,,,
20260329_231729,1774844251594,frame,4,P1,normal,clean,0.5,,none,0.0,1294,0.8,none,no_command,,,,,,,,
20260329_231729,1774844251626,frame,5,P1,normal,clean,0.5,,none,0.0,1326,0.8,none,no_command,,,,,,,,
20260329_231729,1774844251658,frame,6,P1,normal,clean,0.5,,none,0.0,1358,0.8,none,no_command,,,,,,,,
20260329_231729,1774844251689,frame,7,P1,normal,clean,0.5,,none,0.0,1389,0.8,none,no_command,,,,,,,,
20260329_231729,1774844251721,frame,8,P1,normal,clean,0.5,,none,0.0,1421,0.8,none,no_command,,,,,,,,
20260329_231729,1774844251752,frame,9,P1,normal,clean,0.5,,none,0.0,1452,0.8,none,no_command,,,,,,,,
20260329_231729,1774844251783,frame,10,P1,normal,clean,0.5,,none,0.0,1483,0.8,none,no_command,,,,,,,,
20260329_231729,1774844251845,frame,11,P1,normal,clean,0.5,,none,0.0,1545,0.8,none,no_command,,,,,,,,
20260329_231729,1774844251876,frame,12,P1,normal,clean,0.5,,none,0.0,1576,0.8,none,no_command,,,,,,,,
20260329_231729,1774844251907,frame,13,P1,normal,clean,0.5,,none,0.0,1607,0.8,none,no_command,,,,,,,,
20260329_231729,1774844251937,frame,14,P1,normal,clean,0.5,,none,0.0,1637,0.8,none,no_command,,,,,,,,
20260329_231729,1774844251967,frame,15,P1,normal,clean,0.5,,none,0.0,1667,0.8,none,no_command,,,,,,,,
20260329_231729,1774844251999,frame,16,P1,normal,clean,0.5,,none,0.0,1699,0.8,none,no_command,,,,,,,,
20260329_231729,1774844252030,frame,17,P1,normal,clean,0.5,,none,0.0,1730,0.8,none,no_command,,,,,,,,
